# OPPS TRACKER - COMPLETE PLAYER DATABASE
# Generated: 12/08/2025, 16:06:23
# Discord Bot: OPPS TRACKER
# Total Players: 293
#
# DATABASE STATISTICS:
# - Total Players: 293
# - Royalty RP Only: 193
# - Horizon Only: 97
# - Both Servers: 3
# - Currently Tracked: 4
#
# FORMAT: PlayerName [Server(s)] {TrackingStatus} | First Seen | Last Seen | Total Sightings
# ========================================================================================

:) [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 168
TiqqleMyFeet [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 13
Tito [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 1
tony romo [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
toxic.gamer [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 336
𝒯𝑜𝓍𝒾𝓃𝒶 [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 191
tragic [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 366
TTV BigBlock340 [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 202
Tyler [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 200
Ugly  [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 21
Unruly Gentleman [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 358
User [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 191
Utente [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 207
vap0r [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 184
Vegas Sun Devil [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 23
Vicci [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 20
Viking_Ghostie [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 236
Viral [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 83
VLIEK [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 359
white velvet [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 115
Window Licker [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 144
wombat [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 4
Ws [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 6
x o x o [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 191
XIII [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 180
xsami [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 12/08/2025 | Sightings: 351
XWOLFGODDESS03X [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 174
YSL Lutzy [Horizon] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 144
YSL Unc_Hesi [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 199
ZelTheViking [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 23
Zylo [Royalty] {Not Tracked} | First: 11/08/2025 | Last: 11/08/2025 | Sightings: 191
エージ [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 159
乂 rhys [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 132
乇ﾒﾉﾚ⸸Ꮢ𐍅 [Royalty] {Not Tracked} | First: 12/08/2025 | Last: 12/08/2025 | Sightings: 1


# ========================================================================================
# TRACKED PLAYERS SUMMARY
# ========================================================================================

## 📍 PEOPLE OF INTEREST (3 players)
--------------------------------------------------
Swizzy
  Added by: jayreaper on 11/08/2025

Lewis
  Added by: jayreaper on 11/08/2025

SS
  Added by: jayreaper on 11/08/2025

## 🏢 CLUB MEMBERS & ASSOCIATES (2 players)
--------------------------------------------------
Ember
  Added by: jayreaper on 11/08/2025

Jayreaper
  Added by: jayreaper on 11/08/2025

